"company_id","building_id","floor_id","space_id","day_date","hour_num","hour_is_peak","m_cnt_event_scheduled","m_cnt_event_actual","m_cnt_people_scheduled","m_cnt_people_actual","m_sum_scheduled_duration_minutes_1_3","m_sum_scheduled_duration_minutes_4_5","m_sum_scheduled_duration_minutes_6_9","m_sum_scheduled_duration_minutes_10_17","m_sum_scheduled_duration_minutes_18_plus","m_sum_duration_minutes_scheduled","m_sum_duration_minutes_actual","m_sum_available_minutes_to_book","m_sum_days_to_book","m_max_days_to_book"
123,3351,3351,7072,"2019-09-06",9,FALSE,1,1,1,1,30,0,0,0,0,30,30,60,1,1
123,3351,3351,7072,"2019-09-06",10,TRUE,1,1,1,1,0,0,0,0,0,0,0,60,1,1
123,3351,3351,7072,"2019-09-09",14,TRUE,1,1,1,1,60,0,0,0,0,60,60,60,3,3
123,3351,3351,7587,"2019-09-10",14,TRUE,1,1,1,1,30,0,0,0,0,30,30,60,0,0
123,3351,3351,7803,"2019-09-09",13,FALSE,1,1,1,1,60,0,0,0,0,60,60,60,4,4
123,3351,3351,7803,"2019-09-11",8,FALSE,1,1,1,1,55,0,0,0,0,55,55,60,2,2
123,3351,3351,7803,"2019-09-11",9,FALSE,1,1,1,1,60,0,0,0,0,60,60,60,1,1
123,3351,3351,10193,"2019-09-04",10,TRUE,1,1,1,1,60,0,0,0,0,60,60,60,6,6
123,3351,3351,10193,"2019-09-10",10,TRUE,1,1,4,4,0,30,0,0,0,30,30,60,13,13
123,3351,3351,10193,"2019-09-10",11,TRUE,1,1,2,2,30,0,0,0,0,30,30,60,18,18
123,3351,3351,10372,"2019-09-03",16,FALSE,1,1,1,1,30,0,0,0,0,30,30,60,0,0
123,3351,3351,10372,"2019-09-04",14,TRUE,1,1,10,10,0,0,0,60,0,60,60,60,0,0
123,3351,3351,10372,"2019-09-05",9,FALSE,1,1,1,1,30,0,0,0,0,30,30,60,0,0
123,3351,3351,10372,"2019-09-06",10,TRUE,1,1,1,1,30,0,0,0,0,30,30,60,1,1
123,3351,3351,10372,"2019-09-09",13,FALSE,1,1,1,1,30,0,0,0,0,30,30,60,3,3
123,3351,3351,10372,"2019-09-09",14,TRUE,1,1,1,1,60,0,0,0,0,60,60,60,3,3
123,3351,3351,10372,"2019-09-09",15,TRUE,1,1,1,1,30,0,0,0,0,30,30,60,3,3
123,3351,3351,10372,"2019-09-10",13,FALSE,1,1,1,1,60,0,0,0,0,60,60,60,4,4
123,3351,3351,10372,"2019-09-10",14,TRUE,1,1,1,1,60,0,0,0,0,60,60,60,5,5
123,3351,3351,10372,"2019-09-10",15,TRUE,1,1,1,1,0,0,0,0,0,0,0,60,5,5
123,3351,3351,10372,"2019-09-11",9,FALSE,1,1,1,1,60,0,0,0,0,60,60,60,6,6
123,3351,3351,10372,"2019-09-11",10,TRUE,1,1,1,1,0,0,0,0,0,0,0,60,6,6
2183,3802,3815,3223,"2019-09-05",17,FALSE,1,1,1,1,30,0,0,0,0,30,30,60,0,0
2183,3802,3815,3223,"2019-09-06",11,TRUE,1,1,2,2,60,0,0,0,0,60,60,60,77,77
2183,3802,3815,3223,"2019-09-11",9,FALSE,1,1,1,1,30,0,0,0,0,30,30,60,5,5
2183,3802,3815,3223,"2019-09-11",12,FALSE,1,1,1,1,30,0,0,0,0,30,30,60,1,1
2183,3802,3815,6656,"2019-09-03",10,TRUE,1,1,1,1,30,0,0,0,0,30,30,60,4,4
2183,3802,3815,6656,"2019-09-03",14,TRUE,1,1,1,1,60,0,0,0,0,60,60,60,13,13
2183,3802,3815,6656,"2019-09-05",12,FALSE,1,1,1,1,50,0,0,0,0,50,50,60,995,995
2183,3802,3815,6656,"2019-09-05",15,TRUE,1,1,1,1,30,0,0,0,0,30,30,60,14,14
2183,3802,3815,6656,"2019-09-06",10,TRUE,1,1,1,1,30,0,0,0,0,30,30,60,0,0
2183,3802,3815,6656,"2019-09-09",8,FALSE,1,1,1,1,60,0,0,0,0,60,60,60,444,444
2183,3802,3815,6656,"2019-09-10",14,TRUE,1,1,1,1,60,0,0,0,0,60,60,60,35,35
2183,3802,3815,6710,"2019-09-04",7,FALSE,1,1,1,1,30,0,0,0,0,30,30,60,0,0
2183,3802,3815,6710,"2019-09-04",8,FALSE,1,1,1,1,30,0,0,0,0,30,30,60,0,0
2183,3802,3815,6710,"2019-09-05",16,FALSE,1,1,1,1,30,0,0,0,0,30,30,60,9,9
2183,3802,3815,6710,"2019-09-09",10,TRUE,1,1,1,1,30,0,0,0,0,30,30,60,3,3
